ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2014;1;1;15.8;89.0;17.0;3.0;55.0;7.1;501.0;0.7;13.8;0.5;0.01
SINES/MC;541;2014;1;1;15.1;82.0;17.0;2.0;67.0;5.1;363.5;1.3;9.8;0.8;0.02
PORTO/PR;545;2014;1;1;13.7;95.0;19.0;6.5;18.3;0.1;2.2;0.0;0.2;0.0;0.00
COIMBRA/CE;548;2014;1;1;13.4;99.0;22.0;3.1;13.0;0.0;2.1;0.0;0.0;0.0;0.00
V.CASTELO;551;2014;1;1;13.4;98.0;18.0;7.0;5.9;0.0;2.1;0.0;0.1;0.0;0.00
FARO;554;2014;1;1;15.9;79.0;4.0;0.2;82.6;12.0;482.4;1.9;22.7;3.2;0.21
EVORA/CC;558;2014;1;1;12.4;95.0;20.0;19.0;20.2;0.4;122.6;0.0;0.8;0.0;0.00
VISEU/CC;560;2014;1;1;9.7;91.0;18.0;0.8;21.1;0.1;2.7;0.0;0.2;0.0;0.00
BEJA;562;2014;1;1;12.9;92.0;20.0;4.0;44.4;4.3;424.5;0.2;8.5;0.1;0.00
V.REAL;567;2014;1;1;9.7;96.0;16.0;4.0;21.3;0.1;1.5;0.0;0.1;0.0;0.00
P.DOURADAS;568;2014;1;1;5.4;95.0;6.0;3.7;8.6;0.0;0.7;0.0;0.1;0.0;0.00
C.BRANCO;570;2014;1;1;10.7;100.0;17.0;2.0;8.5;0.0;2.6;0.0;0.0;0.0;0.00
PORTALEGRE;571;2014;1;1;10.1;95.0;18.0;0.0;74.7;41.1;230.3;1.9;56.8;6.2;0.68
BRAGANCA;575;2014;1;1;9.2;86.0;20.0;4.0;24.3;0.2;1.4;0.0;0.3;0.0;0.00
LISBOA/GC;579;2014;1;1;14.7;93.0;18.0;3.0;25.3;0.1;102.2;0.0;0.3;0.0;0.00
MONCAO;605;2014;1;1;14.0;88.0;25.0;0.0;76.0;5.0;27.0;2.9;6.9;2.2;0.11
LAM.MOURO;606;2014;1;1;7.6;91.0;27.0;4.0;27.3;0.1;1.1;0.0;0.2;0.0;0.00
MONTALEGRE;611;2014;1;1;7.1;96.0;27.0;17.0;7.4;0.0;1.0;0.0;0.1;0.0;0.00
P.LIMA;615;2014;1;1;13.7;92.0;18.0;9.8;18.4;0.1;2.2;0.0;0.2;0.0;0.00
CHAVES;616;2014;1;1;11.3;87.0;12.0;3.0;35.5;0.2;37.1;0.0;0.4;0.0;0.00
CABRIL;619;2014;1;1;10.2;93.0;27.0;10.3;16.8;0.1;1.5;0.0;0.2;0.0;0.00
BRAGA;622;2014;1;1;13.7;93.0;18.0;7.9;18.4;0.1;2.2;0.0;0.2;0.0;0.00
C.BASTO;630;2014;1;1;12.3;93.0;16.0;7.2;19.9;0.1;1.9;0.0;0.2;0.0;0.00
MIRANDELA;632;2014;1;1;12.2;90.0;20.0;3.7;29.8;0.2;102.8;0.0;0.3;0.0;0.00
