
ESTACAO      NUM  ANO  MES  DIA    TEMP      HR   VENTO    PREC    FFMC     DMC      DC     ISI     BUI     FWI     DSR
V.CASTELO    551 2018    1    1    14.5    91.0    13.0     1.7    15.1     0.2    34.9     0.0     0.3     0.0    0.00
MONCAO       605 2018    1    1    13.4    88.8     3.5     6.0    11.7     0.2     2.1     0.0     0.3     0.0    0.00
LAM.MOURO    606 2018    1    1     7.8    97.0    21.2     7.2     5.3     0.0     1.1     0.0     0.1     0.0    0.00
P.LIMA       615 2018    1    1    14.6    77.0    11.2     7.6    31.5     0.4     2.3     0.0     0.6     0.0    0.00
BRAGA        622 2018    1    1    14.9    98.0     2.1     2.4     2.2     0.0     4.2     0.0     0.1     0.0    0.00
CABRIL       619 2018    1    1     9.2    95.3     2.3     3.8     5.7     0.1     1.4     0.0     0.1     0.0    0.00
PORTO/PR     545 2018    1    1    14.5    81.0    15.8     2.3    33.7     0.4    59.7     0.0     0.7     0.0    0.00
V.REAL       567 2018    1    1     8.9    96.0     4.0     3.9    18.9     0.0   126.5     0.0     0.1     0.0    0.00
CHAVES       616 2018    1    1     8.6    94.0     4.7     0.4    59.4     1.3   290.9     0.5     2.5     0.2    0.00
MONTALEGRE   611 2018    1    1     6.7    97.0     6.4     6.1     4.6     0.0     0.9     0.0     0.1     0.0    0.00
C.BASTO      630 2018    1    1    12.5    90.9    14.4     2.0    31.9     0.2     3.6     0.0     0.3     0.0    0.00
BRAGANCA     575 2018    1    1     9.5    81.0    16.2     4.1    46.5     0.9   213.3     0.2     1.8     0.1    0.00
MIRANDELA    632 2018    1    1     9.4    89.0     4.7     1.0    67.1     5.6   481.7     0.7    11.0     0.5    0.01
M.DOURO      635 2018    1    1     6.8    95.0    19.4     0.2    74.6     5.5   458.1     2.0    10.8     1.8    0.08
MOGADOURO    637 2018    1    1     6.9    89.6    29.2     6.2    37.3     1.2   474.7     0.1     2.5     0.0    0.00
MCAVALEIRO   633 2018    1    1     7.8    91.0     6.8     4.4    30.5     0.8   312.6     0.0     1.6     0.0    0.00
C.ANSIAES    644 2018    1    1     8.3    90.0     7.9     2.9    29.1     0.3   287.1     0.0     0.7     0.0    0.00
MONCORVO     654 2018    1    1    10.5    75.0    23.0     3.5    59.2     3.2   492.0     1.2     6.2     0.6    0.01
AVEIRO/UNI   702 2018    1    1    16.3    75.0     3.0     0.1    42.3     0.6   182.0     0.1     1.3     0.0    0.00
ANADIA       705 2018    1    1    15.3    91.0     2.9     0.7    10.0     0.2    95.3     0.0     0.4     0.0    0.00
AROUCA       669 2018    1    1    12.4    82.0    13.0     1.0    41.8     0.5     3.5     0.1     0.7     0.0    0.00
VISEU/CC     560 2018    1    1     6.9   100.0     8.3     3.9     0.0     0.0    57.6     0.0     0.0     0.0    0.00
MOIM.BEIRA   663 2018    1    1     9.7    81.0    13.7     1.6    45.5     0.3   158.1     0.2     0.5     0.0    0.00
NELAS        685 2018    1    1     9.6    98.0     9.7     3.0     3.4     0.0   152.8     0.0     0.1     0.0    0.00
GUARDA       683 2018    1    1     6.3    90.0    26.3     9.2    24.5     0.1   168.7     0.0     0.2     0.0    0.00
P.DOURADAS   568 2018    1    1     3.6   100.0    44.3    14.6     2.0     0.0     0.4     0.0     0.0     0.0    0.00
FC.RODRIGO   671 2018    1    1     8.7    95.0    35.3     3.0    45.0     8.0   622.9     0.5    15.6     0.4    0.00
TRANCOSO     666 2018    1    1     6.5    99.0    26.3     6.1     6.3     0.0   218.5     0.0     0.0     0.0    0.00
SABUGAL      800 2018    1    1     6.9    91.0    15.5     4.8    32.2     2.6   384.0     0.0     5.1     0.0    0.00
COIMBRA/CE   548 2018    1    1    13.8    83.0    13.0     2.1    31.5     0.3   189.8     0.0     0.6     0.0    0.00
LOUSA        697 2018    1    1    14.2    80.0    11.2     4.0    38.3     0.4   162.2     0.0     0.7     0.0    0.00
PAMP.SERRA   686 2018    1    1     8.2    84.2     5.8     4.5    24.4     0.2   232.7     0.0     0.4     0.0    0.00
FIG.FOZ      713 2018    1    1    15.1    92.0     5.4     0.8    33.0     0.5   261.2     0.0     0.9     0.0    0.00
LEIRIA/AER   718 2018    1    1    15.4    73.0     9.0     0.4    53.6     0.6   259.9     0.4     1.3     0.1    0.00
ANSIAO       716 2018    1    1    11.5    87.0    11.5     0.7    17.3     0.2   111.8     0.0     0.4     0.0    0.00
ALCOBACA     726 2018    1    1    15.0    83.0     5.0     2.1    38.9     0.3   276.1     0.0     0.7     0.0    0.00
C.BRANCO     570 2018    1    1     7.7   100.0    11.9     1.9    50.1     7.7   420.1     0.3    14.7     0.2    0.00
COVILHA      687 2018    1    1    12.1    72.0    14.4     2.7    50.8     0.6   221.7     0.4     1.1     0.1    0.00
ZEBREIRA     803 2018    1    1     9.0    77.0    15.8     2.2    63.6     4.3   231.9     1.1     8.2     0.6    0.01
PROENCA      806 2018    1    1    10.8    79.0    11.2     3.2    46.6     0.3   156.3     0.2     0.6     0.0    0.00
LISBOA/GC    579 2018    1    1    12.8    83.0     1.8     1.3    66.4     4.8   321.7     0.6     9.2     0.4    0.00
D.PORTOS     739 2018    1    1    15.2    78.0    12.2     0.6    54.5     0.5   395.0     0.5     1.1     0.1    0.00
SANTAREMFB   734 2018    1    1     8.5   100.0     1.8     2.6    36.3     1.0   424.6     0.0     1.9     0.0    0.00
R.MAIOR      729 2018    1    1     9.2   100.0     5.8     3.0     0.0     0.0   246.6     0.0     0.0     0.0    0.00
CORUCHE      744 2018    1    1    13.9    77.4     3.6     1.2    69.5     4.0   455.8     0.7     7.9     0.4    0.01
TOMAR        724 2018    1    1     8.3    98.0     2.2     3.6    24.2     0.0   297.2     0.0     0.0     0.0    0.00
ALVEGA       812 2018    1    1     9.1    78.6     3.6     1.5    61.4     1.4   300.6     0.5     2.7     0.2    0.00
PORTALEGRE   571 2018    1    1     8.5    90.0    12.6     2.6    22.1     0.1   288.1     0.0     0.2     0.0    0.00
ELVAS        835 2018    1    1    10.7    83.0     6.5     0.3    79.6     9.1   372.5     1.5    17.2     1.8    0.08
AVIS         824 2018    1    1     8.6   100.0     1.1     0.6    69.0     3.7   434.0     0.6     7.2     0.3    0.00
EVORA/CC     558 2018    1    1    14.0    73.0    11.5     2.0    67.2     7.2   495.4     1.0    14.0     0.7    0.02
