ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2011;1;1;16.3;81.0;13.0;2.0;49.9;0.4;5.4;0.3;0.7;0.1;0.00
SINES/MC;541;2011;1;1;15.5;82.0;17.0;2.0;49.7;0.4;41.1;0.4;0.7;0.1;0.00
PORTO/PR;545;2011;1;1;13.7;77.0;0.0;0.0;50.1;1.0;4.6;0.2;1.3;0.0;0.00
COIMBRA/CE;548;2011;1;1;13.6;90.0;4.0;12.0;17.1;0.2;2.2;0.0;0.3;0.0;0.00
V.CASTELO;551;2011;1;1;13.4;74.0;0.0;0.0;62.2;1.1;6.7;0.5;1.5;0.1;0.00
FARO;554;2011;1;1;16.6;77.0;9.0;0.0;57.7;0.8;37.1;0.5;1.5;0.2;0.00
EVORA/CC;558;2011;1;1;12.2;98.0;4.0;3.0;14.6;0.0;1.9;0.0;0.1;0.0;0.00
VISEU/CC;560;2011;1;1;11.3;81.0;2.0;1.0;45.5;0.5;3.2;0.1;0.7;0.0;0.00
BEJA;562;2011;1;1;14.0;87.0;13.0;0.5;51.6;0.5;4.7;0.4;0.8;0.1;0.00
V.REAL;567;2011;1;1;10.5;91.0;3.0;0.6;34.9;0.3;3.1;0.0;0.5;0.0;0.00
P.DOURADAS;568;2011;1;1;4.9;99.0;2.0;7.0;0.8;0.0;0.6;0.0;0.0;0.0;0.00
C.BRANCO;570;2011;1;1;10.7;98.0;4.0;0.8;2.3;0.0;3.1;0.0;0.1;0.0;0.00
PORTALEGRE;571;2011;1;1;11.0;87.0;4.0;8.0;12.5;0.2;1.7;0.0;0.3;0.0;0.00
BRAGANCA;575;2011;1;1;7.9;100.0;2.0;7.0;0.0;0.0;1.1;0.0;0.0;0.0;0.00
LISBOA/GC;579;2011;1;1;16.2;75.0;13.0;0.3;60.6;1.0;5.2;0.8;1.4;0.2;0.00
MONCAO;605;2011;1;1;11.8;81.0;3.0;0.0;72.8;1.6;6.8;0.8;2.0;0.2;0.00
LAM.MOURO;606;2011;1;1;9.5;80.0;2.0;0.0;40.3;0.7;3.4;0.0;0.9;0.0;0.00
MONTALEGRE;611;2011;1;1;7.8;85.0;1.0;0.1;11.9;0.2;1.9;0.0;0.3;0.0;0.00
P.LIMA;615;2011;1;1;12.2;84.0;1.0;0.0;46.6;0.6;4.3;0.1;0.8;0.0;0.00
CHAVES;616;2011;1;1;9.2;98.0;0.0;0.0;42.1;0.4;4.8;0.1;0.7;0.0;0.00
CABRIL;619;2011;1;1;11.0;84.0;0.0;0.0;46.3;0.7;4.8;0.1;1.1;0.0;0.00
BRAGA;622;2011;1;1;13.2;82.0;1.0;0.0;74.9;1.7;7.0;0.8;2.1;0.3;0.00
C.BASTO;630;2011;1;1;11.4;89.0;0.0;0.0;40.0;0.6;3.9;0.0;0.8;0.0;0.00
MIRANDELA;632;2011;1;1;9.8;100.0;1.0;0.0;5.6;0.0;40.9;0.0;0.0;0.0;0.00
MCAVALEIRO;633;2011;1;1;9.9;91.0;1.0;2.0;20.3;0.1;3.1;0.0;0.2;0.0;0.00
M.DOURO;635;2011;1;1;8.2;97.0;0.0;0.6;19.8;0.0;16.2;0.0;0.1;0.0;0.00
MOGADOURO;637;2011;1;1;8.4;89.0;0.0;2.0;42.7;0.1;4.0;0.1;0.2;0.0;0.00
C.ANSIAES;644;2011;1;1;9.1;90.0;2.0;1.0;36.6;0.2;2.5;0.0;0.4;0.0;0.00
MONCORVO;654;2011;1;1;9.3;96.0;1.0;2.0;33.7;0.1;72.9;0.0;0.1;0.0;0.00
MOIM.BEIRA;663;2011;1;1;9.3;91.0;1.0;1.6;36.5;0.1;2.8;0.0;0.2;0.0;0.00
TRANCOSO;666;2011;1;1;7.7;96.0;1.0;2.0;9.7;0.0;2.0;0.0;0.1;0.0;0.00
AROUCA;669;2011;1;1;12.9;83.0;2.0;0.5;56.4;1.0;4.4;0.3;1.3;0.1;0.00
