ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
V.CASTELO;551;2016;1;1;13.3;90.0;18.0;10.7;19.3;0.2;2.1;0.0;0.3;0.0;0.00
MONCAO;605;2016;1;1;14.1;90.0;19.0;5.4;28.9;0.2;42.7;0.0;0.4;0.0;0.00
LAM.MOURO;606;2016;1;1;9.4;96.0;21.0;15.4;9.2;0.1;1.4;0.0;0.1;0.0;0.00
P.LIMA;615;2016;1;1;13.9;91.0;18.0;12.0;16.4;0.2;2.2;0.0;0.3;0.0;0.00
BRAGA;622;2016;1;1;14.1;91.0;18.0;18.3;16.5;0.2;2.2;0.0;0.3;0.0;0.00
CABRIL;619;2016;1;1;10.0;100.0;5.0;23.0;0.0;0.0;1.5;0.0;0.0;0.0;0.00
PORTO/PR;545;2016;1;1;14.3;90.0;32.0;15.7;27.5;0.2;2.3;0.0;0.3;0.0;0.00
V.REAL;567;2016;1;1;8.0;98.0;1.0;4.9;11.1;0.0;138.2;0.0;0.0;0.0;0.00
CHAVES;616;2016;1;1;10.1;87.0;9.0;6.7;20.9;0.2;129.6;0.0;0.4;0.0;0.00
MONTALEGRE;611;2016;1;1;7.1;99.0;5.0;17.3;1.1;0.0;1.0;0.0;0.0;0.0;0.00
C.BASTO;630;2016;1;1;9.7;100.0;8.0;14.5;0.0;0.0;1.5;0.0;0.0;0.0;0.00
BRAGANCA;575;2016;1;1;5.6;98.0;2.0;1.7;16.3;0.0;21.5;0.0;0.0;0.0;0.00
MIRANDELA;632;2016;1;1;9.0;98.0;8.0;1.8;12.3;0.0;254.1;0.0;0.0;0.0;0.00
M.DOURO;635;2016;1;1;10.0;86.0;14.0;0.0;41.7;1.1;191.0;0.1;2.2;0.0;0.00
MOGADOURO;637;2016;1;1;10.0;86.0;44.0;0.0;47.3;1.0;168.4;1.1;2.0;0.3;0.00
MCAVALEIRO;633;2016;1;1;5.6;98.0;2.0;1.7;16.3;0.0;51.2;0.0;0.0;0.0;0.00
C.ANSIAES;644;2016;1;1;9.1;89.0;18.0;1.3;36.7;0.2;21.3;0.0;0.5;0.0;0.00
MONCORVO;654;2016;1;1;12.7;74.0;29.0;0.0;67.9;1.3;249.9;2.5;2.6;0.9;0.02
AVEIRO/UNI;702;2016;1;1;15.2;92.0;17.0;5.6;24.0;0.2;47.9;0.0;0.3;0.0;0.00
ANADIA;705;2016;1;1;15.4;98.0;9.0;3.7;7.1;0.0;122.2;0.0;0.1;0.0;0.00
AROUCA;669;2016;1;1;13.7;87.0;15.0;15.0;22.6;0.2;2.2;0.0;0.4;0.0;0.00
VISEU/CC;560;2016;1;1;10.1;100.0;27.0;7.7;0.0;0.0;1.5;0.0;0.0;0.0;0.00
MOIM.BEIRA;663;2016;1;1;9.5;89.0;8.0;5.5;20.7;0.1;1.4;0.0;0.2;0.0;0.00
NELAS;685;2016;1;1;14.5;82.0;32.0;0.0;40.2;0.6;127.3;0.2;1.3;0.1;0.00
GUARDA;683;2016;1;1;7.3;100.0;26.0;4.1;6.9;0.0;1.0;0.0;0.0;0.0;0.00
P.DOURADAS;568;2016;1;1;7.8;97.0;34.0;1.1;16.9;0.0;1.4;0.0;0.1;0.0;0.00
FC.RODRIGO;671;2016;1;1;11.5;89.0;31.0;0.0;43.8;2.8;256.2;0.3;5.4;0.1;0.00
